tmsNumber,d_count_1,d_count_2,d_count_3,d_count_4,d_count_5,d_count_6,d_count_7,d_count_9,d_speed_1,d_speed_2,d_speed_3,d_speed_4,d_speed_5,d_speed_6,d_speed_7,d_speed_9,d_count_light,d_count_heavy,d_speed_light,d_speed_heavy,n_count_1,n_count_2,n_count_3,n_count_4,n_count_5,n_count_6,n_count_7,n_count_9,n_speed_1,n_speed_2,n_speed_3,n_speed_4,n_speed_5,n_speed_6,n_speed_7,n_speed_9,n_count_light,n_count_heavy,n_speed_light,n_speed_heavy
435,34091.26315789474,1164.4035087719299,42.70175438596491,340.5263157894737,626.0877192982456,348.6666666666667,71.01754385964912,0.0,94.69514188280455,83.80002480599642,84.44319978727249,82.35326462022076,81.96180186903534,87.0558051572478,83.93707446428456,0.0,34510.94736842105,2173.719298245614,94.59476547099987,83.09410758352367,3901.9824561403507,173.5438596491228,11.543859649122806,54.1578947368421,184.66666666666666,22.75438596491228,8.368421052631579,0.0,97.05102715405913,83.56005565546222,85.06442130763462,82.99786991672268,82.01153723623588,88.39171666360507,84.29461437685121,0.0,3933.1052631578946,423.9122807017544,96.9696619491987,82.87429368654188
438,32276.473684210527,411.12280701754383,450.7719298245614,58.21052631578947,129.05263157894737,181.3684210526316,32.666666666666664,0.0,63.06396933977928,60.56554626559388,60.870869822119296,61.18419007402976,59.560027991326734,60.89837995013389,59.62654109909235,0.0,32490.508771929824,1049.157894736842,63.04853680694982,60.624842263482215,3314.7894736842104,76.15789473684211,86.91228070175438,13.719298245614034,32.91228070175438,9.982456140350877,5.228070175438597,0.0,66.48049652489597,63.955735093885544,63.03818049644618,64.98878711280284,65.14115437645219,63.00146665777267,57.83948217149971,0.0,3330.0,209.7017543859649,66.4645826424866,63.74935659249753
439,16157.421052631578,327.05263157894734,351.280701754386,70.2280701754386,47.73684210526316,87.50877192982456,20.07017543859649,0.0,53.4882351132426,46.32805679664579,42.198914619788624,46.27652875648334,52.402248400650684,52.383290292777,45.30236163051257,0.0,16265.0,796.2982456140351,53.47188522348583,44.70330318143291,1412.122807017544,37.526315789473685,51.12280701754386,10.035087719298245,9.842105263157896,4.298245614035087,1.7894736842105263,0.0,54.922287574839835,48.46753926351065,45.2743281867734,48.11609643242097,57.70827799086109,52.43214285714286,32.55614035087719,0.0,1418.2105263157894,108.52631578947368,54.90184263131468,47.73378971519948
449,38926.59649122807,1468.421052631579,65.64912280701755,581.1929824561404,900.1578947368421,402.50877192982455,125.01754385964912,0.0,86.83664345134777,81.05048453853632,79.61012093228084,79.94517514150725,79.37306596915002,81.33715010979823,81.17693004363656,0.0,39454.12280701754,3015.4210526315787,86.76160340173827,80.2993232214304,4420.245614035088,267.89473684210526,30.228070175438596,91.59649122807018,283.57894736842104,22.19298245614035,16.92982456140351,0.0,91.87036691885014,82.61636268191448,79.69030582361644,81.73142260747704,81.04582820114268,84.11736883087478,83.14051954158222,0.0,4459.368421052632,673.2982456140351,91.79660840482364,81.63465112936257
451,13362.964285714286,441.69642857142856,43.0,145.35714285714286,451.64285714285717,312.19642857142856,57.142857142857146,0.0,81.40295234368607,80.93265294676148,81.43691041897344,80.48808218864414,80.73723147085434,80.85634092181576,80.50107640125574,0.0,13732.30357142857,1081.6964285714287,81.38714932410426,80.85338766814446,1355.8392857142858,54.375,13.446428571428571,19.553571428571427,126.41071428571429,21.732142857142858,6.678571428571429,0.0,84.82920245968508,82.20893295118881,80.2390920943276,81.88848974172733,81.94159147226696,83.89739213733917,83.981619868227,0.0,1384.25,213.78571428571428,84.80682603247251,81.86706673041537
452,26046.535714285714,311.0357142857143,22.339285714285715,75.5,77.98214285714286,137.125,30.803571428571427,0.0,60.19617776660349,57.981877145834616,58.08875313317169,57.68043473940101,57.69564167030114,59.233630065107306,59.23941355339606,0.0,26214.464285714286,486.85714285714283,60.18985333810109,57.93457024763369,2884.1964285714284,62.339285714285715,11.089285714285714,14.875,28.464285714285715,6.214285714285714,4.732142857142857,0.0,62.039519494447994,59.75103718520261,58.667955484932904,58.57484083318909,61.30101454235671,60.862559216577075,44.701327257111416,0.0,2895.1428571428573,116.76785714285714,62.03777778210871,59.94600611555836
455,17376.839285714286,266.8392857142857,123.67857142857143,42.232142857142854,96.0,153.75,25.071428571428573,0.0,71.22329913837639,68.49027103015662,68.2110189281714,68.7865565187315,67.19276657399666,68.73810957388554,69.02594174226816,0.0,17555.660714285714,528.75,71.19789251941272,68.15797554223452,1746.767857142857,37.642857142857146,26.875,9.053571428571429,27.928571428571427,10.767857142857142,3.9285714285714284,0.0,72.81409149104063,67.90356028186717,65.79135634400714,68.57110365708054,70.01284370823515,69.43128953036558,57.78783498247784,0.0,1761.4642857142858,101.5,72.77955273148282,67.80874399378747
456,32612.875,399.9642857142857,480.875,150.64285714285714,95.33928571428571,172.10714285714286,31.071428571428573,0.0,56.064677099198164,53.78415202224055,51.47458988210831,55.14306811098565,54.785502688051125,54.76808345926175,52.57047061477614,0.0,32816.05357142857,1126.8214285714287,56.05477125547388,53.062412417012276,3015.5,63.32142857142857,82.48214285714286,36.785714285714285,33.732142857142854,7.303571428571429,2.6607142857142856,0.0,59.14415437457574,55.562995184292376,53.32781053405889,55.43739618273202,58.40535506555151,56.96650586516658,46.274212184873946,0.0,3025.464285714286,216.32142857142858,59.135841746342344,55.155244718386236
457,25090.428571428572,415.89285714285717,140.78571428571428,57.625,127.21428571428571,195.07142857142858,43.80357142857143,0.0,61.824290331890616,59.499513293317314,61.31033092630004,60.408589266503434,62.790797318320024,60.96173987222785,59.06159292425768,0.0,25329.303571428572,741.5178571428571,61.81295423072579,60.56843520767547,2566.4821428571427,59.589285714285715,25.857142857142858,10.803571428571429,23.482142857142858,14.410714285714286,6.767857142857143,0.0,63.92972408095568,60.04409990201486,61.64553823822524,60.69051699788307,64.14436267691467,62.7206422976009,53.175749135124136,0.0,2587.660714285714,119.73214285714286,63.89758065245111,61.33928474170323
458,13874.767857142857,382.14285714285717,224.625,278.875,60.0,86.89285714285714,112.41071428571429,12.732142857142858,65.95677406936495,63.70341075782609,63.36000012963938,63.912778608813014,64.39348017874214,65.26303668959454,64.81663368707488,68.787268537081,14074.07142857143,958.375,65.94245919669703,63.76005339485163,1171.75,45.017857142857146,24.017857142857142,43.69642857142857,9.75,7.160714285714286,12.321428571428571,5.053571428571429,68.56216548133477,62.076159367903585,63.95816743742646,64.29563341746102,67.58132225462569,68.73814075309612,65.33571279576783,77.94243358328178,1191.232142857143,127.53571428571429,68.54337685675037,64.55223842474076
464,8283.74074074074,161.77777777777777,45.03703703703704,18.814814814814813,46.03703703703704,60.68518518518518,14.018518518518519,0.0,72.20837154665412,70.84959652361736,70.93419322068777,71.0133425887624,71.33280094100002,71.10853857653136,68.70090939802182,0.0,8358.444444444445,271.6666666666667,72.1973411221901,70.94018283667205,718.0545454545454,34.527272727272724,4.327272727272727,4.763636363636364,8.927272727272728,6.036363636363636,2.8727272727272726,0.0,74.42284923184224,69.86596209991221,69.36320346320346,67.89413944641217,70.99758863287008,65.1602354211445,62.86748196248197,0.0,726.9636363636364,52.54545454545455,74.38361602779506,71.6730457883987
471,29547.714285714286,782.4464285714286,113.64285714285714,571.4821428571429,622.5357142857143,324.0357142857143,105.16071428571429,131.92857142857142,94.00093736694332,85.49144795224936,85.71642012243443,83.41167997092269,82.07630621549184,89.53751077267006,85.73438396726591,81.87858631631893,29976.910714285714,2222.035714285714,93.92160948213213,83.88029252760468,3051.0178571428573,137.71428571428572,12.589285714285714,80.83928571428571,176.94642857142858,21.357142857142858,17.071428571428573,61.19642857142857,95.70016645376599,85.19902850687922,89.86639555566123,83.3953510781961,82.34744961875536,90.9815672872688,85.13526835196278,81.80146274251925,3089.4464285714284,469.2857142857143,95.60841063805869,83.54344928420858
